<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.17	1.22595	1.23231	1.21769	1.21843	204183	0	1
2018.01.18	1.21843	1.22648	1.21652	1.22369	167647	0	1
2018.01.19	1.22369	1.22954	1.22149	1.22224	160024	0	1
2018.01.22	1.22698	1.22708	1.22139	1.22615	129818	0	1
2018.01.23	1.22615	1.23062	1.22230	1.22983	147486	0	1
2018.01.24	1.22979	1.24149	1.22912	1.24070	185845	0	1
2018.01.25	1.24070	1.25378	1.23638	1.23926	308719	0	1
2018.01.26	1.23926	1.24938	1.23699	1.24264	233580	0	0
2018.01.29	1.24259	1.24321	1.23368	1.23813	184146	0	1
2018.01.30	1.23813	1.24540	1.23348	1.24021	176386	0	1
2018.01.31	1.24017	1.24748	1.23870	1.24132	208308	0	1
2018.02.01	1.24132	1.25220	1.23854	1.25078	185833	0	1
2018.02.02	1.25073	1.25181	1.24091	1.24560	196693	0	1
2018.02.05	1.24344	1.24749	1.23625	1.23665	212883	0	1
2018.02.06	1.23658	1.24346	1.23139	1.23768	298127	0	1
2018.02.07	1.23768	1.24060	1.22457	1.22627	180783	0	1
2018.02.08	1.22620	1.22948	1.22121	1.22467	237241	0	1
2018.02.09	1.22467	1.22873	1.22054	1.22498	231451	0	1
2018.02.12	1.22442	1.22973	1.22350	1.22906	136792	0	1
2018.02.13	1.22906	1.23710	1.22845	1.23501	138960	0	1
2018.02.14	1.23497	1.24651	1.22758	1.24494	197638	0	1
2018.02.15	1.24491	1.25102	1.24480	1.25062	165673	0	1
2018.02.16	1.25062	1.25554	1.23934	1.24105	171908	0	1
2018.02.19	1.24008	1.24352	1.23691	1.24070	118021	0	1
2018.02.20	1.24068	1.24123	1.23196	1.23367	150082	0	1
2018.02.21	1.23367	1.23598	1.22810	1.22822	190080	0	1
2018.02.22	1.22819	1.23521	1.22595	1.23292	150020	0	1
2018.02.23	1.23292	1.23369	1.22798	1.22935	117594	0	1
2018.02.26	1.22930	1.23550	1.22779	1.23167	127575	0	1
2018.02.27	1.23167	1.23464	1.22215	1.22325	154107	0	1
2018.02.28	1.22325	1.22416	1.21878	1.21929	141018	0	1
2018.03.01	1.21924	1.22733	1.21546	1.22651	172658	0	1
2018.03.02	1.22651	1.23359	1.22514	1.23184	153468	0	1
2018.03.05	1.23324	1.23645	1.22688	1.23353	159863	0	1
2018.03.06	1.23353	1.24201	1.23280	1.24033	148585	0	1
2018.03.07	1.24033	1.24448	1.23848	1.24107	150782	0	1
2018.03.08	1.24107	1.24462	1.22979	1.23103	175052	0	1
2018.03.09	1.23102	1.23342	1.22730	1.23053	152115	0	1
2018.03.12	1.23096	1.23456	1.22903	1.23346	103057	0	1
2018.03.13	1.23344	1.24074	1.23145	1.23911	134095	0	1
2018.03.14	1.23911	1.24125	1.23471	1.23680	132189	0	1
2018.03.15	1.23678	1.23836	1.23003	1.23044	139664	0	1
2018.03.16	1.23046	1.23362	1.22600	1.22889	110331	0	1
2018.03.19	1.22872	1.23588	1.22580	1.23341	117506	0	1
2018.03.20	1.23341	1.23547	1.22396	1.22435	111873	0	1
2018.03.21	1.22435	1.23498	1.22417	1.23385	145129	0	1
2018.03.22	1.23385	1.23885	1.22850	1.23056	150537	0	1
2018.03.23	1.23056	1.23733	1.23056	1.23514	125138	0	1
2018.03.26	1.23497	1.24615	1.23485	1.24431	111194	0	1
2018.03.27	1.24422	1.24763	1.23719	1.24020	124710	0	1
2018.03.28	1.24017	1.24216	1.23000	1.23073	123308	0	1
2018.03.29	1.23079	1.23358	1.22839	1.23001	115697	0	1
2018.03.30	1.22999	1.23304	1.22866	1.23218	54735	0	1
2018.04.02	1.23192	1.23450	1.22811	1.23016	65570	0	1
2018.04.03	1.23018	1.23360	1.22536	1.22699	106695	0	1
